"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"MBP"	"MBP"	0.396455737996936	0.209275721514464	-0.295226573577236	0.566121885422142	0.0366615148311385	-0.156808810483716	0.0770109451488061	-0.0305814269198496	-0.116812672717054	-0.546068383529661	"S01"	0.566121885422142	"IS04"
"KLRC4"	"KLRC4"	0.0104750306584616	-0.192774530632184	-0.186161892592854	0.54996308250015	0.0218761596867569	-0.153132427874382	0.0844608183626172	0.158377268079968	-0.0338431603754189	-0.255945945198418	"S01"	0.54996308250015	"IS04"
"SLF1"	"SLF1"	-0.087629479552677	-0.0866568787767201	-0.0546129916105183	0.543231677939335	-0.00729027698929279	-0.245667375505866	0.0896219693034886	0.0875677393002851	-0.184542189274684	0.281144332446544	"S01"	0.543231677939335	"IS04"
"TBC1D10C"	"TBC1D10C"	0.278375069658002	0.1033557339413	-0.18628123627398	0.533211559543917	-0.145112949608956	-0.233283960926376	0.155880460087893	0.408201841646394	-0.38706605496425	-0.51390713155841	"S01"	0.533211559543917	"IS04"
"TOGARAM2"	"TOGARAM2"	-0.0278773490425856	-0.0782305836135403	-0.181012254138579	0.526862765118996	-0.0444360700421225	-0.17556768328611	0.0475538106115226	0.213673375989841	-0.178526889612197	0.096049001084965	"S01"	0.526862765118996	"IS04"
"MT-ND2"	"MT-ND2"	0.300134829770236	-0.564486014607108	0.228680423917873	0.524577578911895	-0.211754347649218	0.186303332864136	0.341804546293733	0.377886351871829	0.293582878473517	-2.92510443729302	"S01"	0.524577578911895	"IS04"
"GVQW3"	"GVQW3"	-0.0457143912803597	-0.0423518956632244	-0.0447692847640017	0.513903769095058	-0.0422441300254045	-0.0434226933739773	-0.0438431595950281	0.0161910241893798	-0.0490456221565258	-0.0426602392290809	"S01"	0.513903769095058	"IS04"
"SYNRG"	"SYNRG"	-0.0573687255013843	0.120914044138927	-0.171216272220887	0.507425910016269	-0.152077343629741	-0.0530462764472081	0.280001664719589	0.116858946420484	-0.313579036969533	0.145888897777045	"S01"	0.507425910016269	"IS04"
"RPS4Y1"	"RPS4Y1"	0.181121756898604	0.179574115092251	-0.12681449053012	0.504784350704936	-0.449999348304006	-0.086439626182785	0.0445909366805448	-0.139857532945561	0.0249554383960113	-0.07360117401855	"S01"	0.504784350704936	"IS04"
"CCL5"	"CCL5"	0.192527595261856	-0.160033271438181	0.105744442487793	0.501795808030864	-0.0202102181257532	-2.02487173707283	0.23736998241284	0.455666937023052	0.244781236194708	-0.240541297860572	"S01"	0.501795808030864	"IS04"
"ARHGEF3"	"ARHGEF3"	0.272940228915411	0.10343039520354	-0.258401072553533	0.500761718553812	-0.017489968340676	-0.183476367786903	-0.0172454783032656	0.110783096116166	-0.311687810542819	0.1577121984553	"S01"	0.500761718553812	"IS04"
"TRBC2"	"TRBC2"	0.2880777304208	0.00216705066217908	-0.197925481650567	0.499249583681722	-0.176744057586559	-0.222684580409686	0.00205740435422172	0.467780316587823	-0.473973102976336	-0.08319957402812	"S01"	0.499249583681722	"IS04"
"RBL2"	"RBL2"	0.172575834388611	0.180813238216385	-0.232029430269807	0.477720098972696	0.119833920083111	-0.0198860715770231	-0.0714376538356878	0.0729886303508805	-0.31858140723561	0.100845946589644	"S01"	0.477720098972696	"IS04"
"STBD1"	"STBD1"	-0.0324573959805296	-0.0300700109870638	-0.0317863666703703	0.47149777227716	-0.0299934969641959	-0.0308302815351238	-0.0311288141908336	-0.033614384905691	-0.0348225828860532	-0.0302889361205884	"S01"	0.47149777227716	"IS04"
"ACTN3"	"ACTN3"	-0.0324346804326198	-0.0300489662681456	-0.0317641207472712	0.471167791084523	-0.0299725057941808	-0.0308087047352565	-0.0311070284606859	-0.0335908596305506	-0.0347982120446472	-0.0302677381853013	"S01"	0.471167791084523	"IS04"
"NXF3"	"NXF3"	-0.0323759550638928	-0.0299945604099585	-0.031706609476055	0.47031470722815	-0.029918238373292	-0.0307529233148311	-0.0310507069032669	-0.0335300409145544	-0.0347352073285192	-0.0302129362245064	"S01"	0.47031470722815	"IS04"
"PRKCH"	"PRKCH"	0.0759321181686585	0.19776092952333	-0.245202060265409	0.46854132122445	0.127046105320787	-0.326472397355323	-0.00571036861647308	0.324702790341025	-0.110827062176995	-0.486279964152433	"S01"	0.46854132122445	"IS04"
"PHOSPHO2"	"PHOSPHO2"	-0.116700991398424	0.0980571513658484	-0.130141637095477	0.46574780272506	-0.15370598301065	-0.157994205727599	0.0310320434244902	0.269959652237232	-0.0967115576428115	-0.155220003400048	"S01"	0.46574780272506	"IS04"
"CYTIP"	"CYTIP"	-0.0910541920842452	0.336871883306028	-0.371862175588359	0.45957894604131	-0.147183451933184	-0.164511001394945	0.281091033937524	0.304517178917854	-0.331790405670297	0.144560668156849	"S01"	0.45957894604131	"IS04"
"STOM"	"STOM"	-0.00588638038183805	0.117638558243042	-0.230710599799415	0.456959764586234	-0.0659803946715866	-0.291042506418904	0.183306806738573	0.295578702680845	-0.20837313394872	-0.103457125795856	"S01"	0.456959764586234	"IS04"
"MT-CYB"	"MT-CYB"	0.224778599137895	0.348184993725089	0.179669807977155	0.455186618682406	-0.162768823114769	0.0889335258946585	0.374054859451013	0.355960287207856	0.158962807958685	-3.05782876596364	"S01"	0.455186618682406	"IS04"
"ITGB7"	"ITGB7"	0.0293816321391866	-0.0900868317969335	-0.234058088005759	0.449131207323676	-0.192268519229165	-0.12253602513317	0.127391236186141	0.224714624610976	-0.164133547817983	0.0547971552222173	"S01"	0.449131207323676	"IS04"
"TRAF3IP3"	"TRAF3IP3"	0.420114803629691	-0.059665288356151	-0.136721553241591	0.439640693307899	-0.102298591237575	-0.106088058615195	0.163954090430248	0.0880827389348987	-0.337725218902387	-0.250827477432137	"S01"	0.439640693307899	"IS04"
"CLEC2D"	"CLEC2D"	0.297365895007123	-0.410971211008547	-0.220909850074977	0.435225240202207	0.00866080161745832	-0.328498297715457	-0.0608782203256987	0.201755594554656	-0.117977763791959	0.116710925643906	"S01"	0.435225240202207	"IS04"
"NPTXR"	"NPTXR"	-0.0934521108401002	0.0211915306829107	-0.0481287684758022	0.422694876674379	0.230658860564415	-0.0887672840107142	-0.089626826373494	0.0587369771046998	-0.10026201355026	-0.0100024388707977	"S01"	0.422694876674379	"IS04"
"PIK3CD"	"PIK3CD"	-0.0776339704175205	0.329826777690508	-0.165146434154401	0.421971112733671	0.0974231935480996	-0.1596536176463	0.0652340482861071	0.181233968746498	-0.307277603879676	0.110364523912366	"S01"	0.421971112733671	"IS04"
"ARHGAP30"	"ARHGAP30"	0.358628212253725	-0.0996566751572108	-0.309394367616635	0.420016627797203	-0.116178600288625	-0.18122341756799	0.0865143328236338	0.126330274702367	-0.193825045845451	-0.0410269010745651	"S01"	0.420016627797203	"IS04"
"SLFN5"	"SLFN5"	0.102153156651844	-0.0308585244750849	-0.192834358017486	0.402853018817611	-0.201250639136086	-0.116547529959223	0.167724548551437	0.203329512416504	-0.367646264228859	0.34167608185306	"S01"	0.402853018817611	"IS04"
"RPL17"	"RPL17"	0.249342282630771	-0.01171645183339	-0.0372446063893652	0.381086804225284	-0.72590415028941	0.131252951289026	-0.0499574792693764	0.148998717874396	0.235481903910014	-1.09897386970761	"S01"	0.381086804225284	"IS04"
"CD244"	"CD244"	0.169664060386137	0.114903008567049	-0.155133657947203	0.381042472646123	-0.194334290897848	-0.3698857402756	0.21234209170614	0.122949921458151	-0.152964632718086	-0.0647130615617622	"S01"	0.381042472646123	"IS04"
"IPCEF1"	"IPCEF1"	-0.0944431681097726	0.253964679160385	-0.152079672577205	0.374521886780933	0.287628259827684	-0.118287982922543	0.0766956363989693	0.196628119265985	-0.211619969083725	-0.269159769225598	"S01"	0.374521886780933	"IS04"
"ABCB1"	"ABCB1"	-0.159616787549301	0.0388742743641951	-0.066622761278807	0.357885217473399	-0.120602953598936	-0.0294841901083543	0.152204301987724	0.0966634543486921	-0.19803975348906	0.249943393626019	"S01"	0.357885217473399	"IS04"
"PTPN4"	"PTPN4"	0.130153491600006	0.148663076534737	-0.26641898599396	0.35500695343269	0.0790563439646583	-0.12268837391577	-0.0291608880725881	0.082108020991646	-0.252906844029394	0.296397796072284	"S01"	0.35500695343269	"IS04"
"KLF12"	"KLF12"	0.0358917278901717	-0.100132453360004	-0.114294950312573	0.354009686103276	0.0374523575103548	-0.0907651613517459	-0.0345369994079682	0.100748833983085	-0.214638964293755	0.320937146424312	"S01"	0.354009686103276	"IS04"
"STK4"	"STK4"	0.123911805715902	-0.111161012118664	-0.185384059805493	0.350756573819816	-0.0164013952140608	-0.272057230677503	0.220432940347375	0.172257931298886	-0.231831023941342	0.101194303974419	"S01"	0.350756573819816	"IS04"
"C16orf96"	"C16orf96"	-0.0229463056447912	-0.0212585034013605	-0.0224719101123595	0.333333333333333	-0.0212044105173876	-0.021795989537925	-0.0220070422535211	-0.0237642585551331	-0.0246184145741014	-0.0214132762312634	"S01"	0.333333333333333	"IS04"
"SIPA1"	"SIPA1"	0.0391230538393642	0.145541714567019	-0.32311046052136	0.326634575195643	-0.119526220018204	-0.169640839079267	0.107249418875	0.166068182716194	-0.0625617391498249	-0.0249299121348707	"S01"	0.326634575195643	"IS04"
"GRK6"	"GRK6"	0.0605571661505105	0.18733560287889	-0.0993879053488505	0.32298763028326	-0.223919589809151	-0.0703250610441197	-0.0724287307791691	0.226883772797347	-0.262379353237632	0.119424091195658	"S01"	0.32298763028326	"IS04"
"IKZF1"	"IKZF1"	0.138370342327803	-0.00720603516738653	-0.146387049452902	0.318173779004746	0.188325243135562	-0.0689771061978965	0.212337871890129	0.0212308519978106	-0.313609359833641	0.0615609120797986	"S01"	0.318173779004746	"IS04"
"JAKMIP2"	"JAKMIP2"	-0.0307609082625315	-0.0351593348538828	-0.0756609095510054	0.315381914493205	0.258832317553339	-0.0187390850621467	-0.127921554600438	0.00103122817089446	-0.0704755434876506	0.0612644583145269	"S01"	0.315381914493205	"IS04"
"ABHD17A"	"ABHD17A"	0.240830520778819	-0.0175572097031967	-0.324311105539747	0.311954816438981	-0.137981605981011	-0.471419151908981	-0.0389628337601708	0.195692999672823	-0.06600102563699	0.298786267675601	"S01"	0.311954816438981	"IS04"
"SEC14L6"	"SEC14L6"	-0.133168423921028	-0.0592758709994821	-0.0866341326745695	0.3033414393032	0.100733970199409	-0.0866140949790286	0.0390120306787404	0.205857110666074	-0.1428724745071	0.0296624212469178	"S01"	0.3033414393032	"IS04"
"PTK2B"	"PTK2B"	-0.081962457230036	0.171150296096136	-0.175201792292479	0.298322524261955	-0.0145470937318482	0.0369316913328078	0.0736485602293372	0.0894090159060546	-0.223942946993076	0.228104474345887	"S01"	0.298322524261955	"IS04"
"SRSF7"	"SRSF7"	0.173229278812931	-0.0602130424226859	-0.383988316411867	0.293689035744861	-0.317558128624719	-0.167736521341179	-0.0210399672967264	-0.0635989484087866	0.261739727541232	0.0814693652987343	"S01"	0.293689035744861	"IS04"
"INPP4A"	"INPP4A"	0.102952407427862	-0.171695974730187	-0.190437899743796	0.278877576506065	0.100317097860523	0.09404342605822	0.0813916684139739	0.0996806900330681	-0.250587543932698	0.107518242422689	"S01"	0.278877576506065	"IS04"
"PITPNC1"	"PITPNC1"	-0.0367367985890768	0.0644089024841223	-0.238868345577281	0.276375700182378	-0.0864679489815681	-0.33216497655921	0.054757416867799	0.0947543694519748	0.0603282429942732	0.189875499323204	"S01"	0.276375700182378	"IS04"
"CCL4L1"	"CCL4L1"	0.0860168826073323	-0.0668787130120665	-0.0706960597772496	0.268183030189397	0.0587064760787785	-0.0685696307778467	-0.0692335972730547	-0.0233406183919563	-0.0384625929606788	0.0429104441178149	"S01"	0.268183030189397	"IS04"
"DENND1C"	"DENND1C"	0.08739355700134	0.119295018980821	-0.177748680144089	0.254108268362558	-0.0565953098502507	-0.244465251706477	0.0815317590851534	0.178527015479901	-0.0826824716937335	-0.158884498467667	"S01"	0.254108268362558	"IS04"
"RSRP1"	"RSRP1"	0.0826501398074499	0.0827956395744931	-0.164681909148354	0.252818726695513	0.033198165817591	0.056799429892358	-0.0285899593076038	-0.0141589207033251	0.0478702633382098	-0.342440153532465	"S01"	0.252818726695513	"IS04"
"DGKZ"	"DGKZ"	0.190310882971707	0.142563579381229	-0.144688585664744	0.246699359155595	0.00272968135047306	-0.0640906572641351	0.055183162689172	0.0208250839165032	-0.164007332824152	-0.107744423373754	"S01"	0.246699359155595	"IS04"
"TSEN54"	"TSEN54"	0.107420048196837	0.120712957553745	-0.293673329311763	0.234570586013981	-0.0995192872094978	-0.0698976724731532	-0.125673031261124	0.221405166285528	-0.0764977615412117	-0.000778966813122476	"S01"	0.234570586013981	"IS04"
"DHRS7"	"DHRS7"	0.198083551404666	0.0463699518525999	-0.412505383242624	0.228181653260279	-0.114481453815017	-0.0638642860464054	0.0795238577866636	0.0534441180051219	0.0247433273916695	-0.0610077047963087	"S01"	0.228181653260279	"IS04"
"SLFN12L"	"SLFN12L"	0.135248230015197	0.0927433713991019	-0.14564020140631	0.225868854261384	0.0551636366473193	-0.234117776702141	0.0717089598957091	0.121718437378706	-0.161156982549816	-0.0266729783365673	"S01"	0.225868854261384	"IS04"
"RINL"	"RINL"	0.0928675201199547	-0.019458497666226	-0.137501353291623	0.208622753268353	-0.0925147191812364	-0.140275781056103	0.0694918181942619	0.148735218999754	-0.114187260306343	-0.00383309189240168	"S01"	0.208622753268353	"IS04"
"PADI6"	"PADI6"	-0.0324113965151364	-0.0300273949857492	-0.0317413182051605	0.207035125354894	-0.0299509894005438	-0.0307865880586234	-0.0310846976260925	-0.0335667457255143	0.0628474810979843	-0.0302460098528832	"S01"	0.207035125354894	"IS04"
"WIPF1"	"WIPF1"	-0.102150285622775	0.149375086681864	-0.363183598939986	0.200415087980782	0.0861411006502443	-0.133525086769734	0.159944377991861	0.183183636559178	-0.0312438440603398	-0.0011231507428356	"S01"	0.200415087980782	"IS04"
"NCALD"	"NCALD"	-0.0516664270040068	-0.0387248652127357	-0.172130454730367	0.184241170548467	0.1700314762453	0.0125704992780468	-0.0987304186501217	0.15450858794158	-0.0857133140521443	0.0809238343563799	"S01"	0.184241170548467	"IS04"
"ZNF595"	"ZNF595"	0.008238118539521	0.159791987249045	-0.163786432658036	0.18064240383585	-0.0332647017473783	0.174292377425087	-0.00366629100052779	-0.0194220957437284	-0.10140093990666	0.0482741982405257	"S01"	0.18064240383585	"IS04"
"CASP8"	"CASP8"	0.122448148747516	-0.0183025866096618	-0.220010830620448	0.176442570099949	0.0713448068557294	-0.156525706833223	0.0730231502813135	0.0903184707484598	-0.08730574988278	0.0345451681378668	"S01"	0.176442570099949	"IS04"
"KLRC1"	"KLRC1"	-0.521026549600463	0.35640349682199	0.0901879777648607	-0.339987497973772	-0.108829401199884	0.0312888314163812	1.05083341862262	0.5302871438082	-0.470586075890567	-0.548267522539342	"S02"	1.05083341862262	"IS07"
"WIPF3"	"WIPF3"	-0.203725499752277	0.14434170633338	-0.00853254229711179	-0.156430557957262	-0.138682788643596	-0.170574314608502	0.990498627192184	-0.103817483982979	-0.124474530015585	-0.0736343406499094	"S02"	0.990498627192184	"IS07"
"GZMK"	"GZMK"	-0.356739193680764	0.618311412072263	-0.0491552707691033	-0.228718692861613	-0.0233089009011254	-0.238188695904782	0.957484051965584	-0.103073434195083	-0.188139468455113	0.0894276857347206	"S02"	0.957484051965584	"IS07"
"ZNF683"	"ZNF683"	-0.0646649225743677	0.00520810730969294	0.0305781253700167	-0.194223708330404	-0.109840681345257	-0.213391124721628	0.772658956519901	0.101866530248278	-0.219044760983227	-0.118574011426545	"S02"	0.772658956519901	"IS07"
"APOBEC3G"	"APOBEC3G"	0.163297914337226	0.168839762786467	-0.260922445045675	-0.13859878750043	-0.116057628050135	-0.37913399432939	0.745612740291773	-0.0100842931795108	-0.101804635034394	-0.0709199188333134	"S02"	0.745612740291773	"IS07"
"GNLY"	"GNLY"	0.252079114765209	0.124755093023235	0.170823053398088	-1.04654566528969	-0.0178905241521825	-0.570663632055772	0.607955519938703	-0.451928368796721	0.423236310651847	-0.0551179695441659	"S02"	0.607955519938703	"IS07"
"CLEC2B"	"CLEC2B"	0.00781349377522581	0.153178517642192	-0.360413027449274	0.141767858463693	-0.0830830431406171	-0.35858074728249	0.587079894853258	0.251776203751178	-0.264034772324419	0.121084378614776	"S02"	0.587079894853258	"IS07"
"HAVCR2"	"HAVCR2"	-0.159361780017116	-0.041566518953837	-0.217242237811965	-0.198221207039058	-0.0199591065646487	-0.311238083273208	0.584146344418726	0.360470338680036	-0.103646730525204	-0.0563507555970106	"S02"	0.584146344418726	"IS07"
"KLRD1"	"KLRD1"	0.437426282010834	0.325042333550648	-0.0925281515301957	0.227488906169151	0.196588551965829	-0.977046175851865	0.537968296979609	-0.501891283640968	0.164143111709005	-0.165209399830708	"S02"	0.537968296979609	"IS07"
"GLIPR2"	"GLIPR2"	0.0893944797183961	0.0853552841674973	-0.177118856574497	-0.195917837160227	-0.229348247881787	-0.154565367307675	0.529576385346989	0.0530147885872902	-0.0930933008463841	0.0135150087376732	"S02"	0.529576385346989	"IS07"
"CXCR4"	"CXCR4"	-0.227567815464275	0.139684281230953	-0.0380109228411537	-0.622631398259859	-0.0996475724511427	0.358175272605522	0.492199002674481	-0.574478590883508	0.283315538342937	0.444361781955228	"S02"	0.492199002674481	"IS07"
"TYROBP"	"TYROBP"	-0.427614751458962	0.219592238805513	0.0169742429124418	-0.704458633131322	-0.252467452972141	0.132777333972621	0.487417862556211	0.371741810086212	-0.0308819381011327	-0.130863838914286	"S02"	0.487417862556211	"IS07"
"TXK"	"TXK"	-0.299018549381079	0.432586309942551	-0.237166091950466	-0.0101544345361017	0.0543211667181986	-0.00888591503081658	0.473207603110521	0.350456177261033	-0.40207993161163	0.101612614607143	"S02"	0.473207603110521	"IS07"
"CCL3"	"CCL3"	0.221914960051728	0.0385944096589024	0.0372744051262131	-0.501810994469795	0.1283939734952	-0.657519440671749	0.46964371040696	-0.142397157052201	0.23338079544716	-0.243433955497537	"S02"	0.46964371040696	"IS07"
"TBCD"	"TBCD"	-0.265859859903337	0.0991102955113732	-0.0918205362711713	-0.0687006979770166	-0.0468909966964095	-0.153598745208987	0.461380135586737	0.212828883625004	-0.0738764005074725	-0.0670011499238874	"S02"	0.461380135586737	"IS07"
"HCST"	"HCST"	0.318110945758928	-0.123195268879178	-0.179761035299062	0.300022175457602	-0.325584366250567	-0.878273608278084	0.449833690973003	0.396728539353895	-0.195506325775803	-0.0744195219953772	"S02"	0.449833690973003	"IS07"
"MT-ATP6"	"MT-ATP6"	0.309832076640803	0.3092443439555	0.107990548537185	0.346478166415474	-0.102160381196253	0.137189255833099	0.442230761105341	0.415930600805289	0.063087102296964	-3.05993851475571	"S02"	0.442230761105341	"IS07"
"NCAM1"	"NCAM1"	-0.140684004578197	0.147996784457914	-0.103048216809784	-0.10112472541335	0.0561320195337093	0.0047508957746271	0.407205383778208	-0.0808919793214691	-0.103212342617586	0.205872052640844	"S02"	0.407205383778208	"IS07"
