"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"C123"	"C123"	"E8"	0.000489536305532205	0.00115562668846947	TRUE	"E8"
"C126"	"C126"	"E8"	0.0919997247054396	0.1077069947771	TRUE	"E8"
"C130"	"C130"	"E8"	0.000898850670344858	0.00196112873529787	TRUE	"E8"
"C132"	"C132"	"E8"	0.00166801886157442	0.00329033857625638	TRUE	"E8"
"C137"	"C137"	"E8"	0.0309875893866964	0.04109949687713	TRUE	"E8"
"C142"	"C142"	"E8"	0.00598647666899593	0.00979605273108424	TRUE	"E8"
"C143"	"C143"	"E8"	0.0400405891742893	0.051025175584935	TRUE	"E8"
"C147"	"C147"	"E8"	0.0665364838649685	0.0811970650555548	TRUE	"E8"
"C152"	"C152"	"E8"	0.248367752747628	0.257301844573083	TRUE	"E8"
"KUL19.T"	"KUL19.T"	"E8"	0.159037189962655	0.173495116322897	TRUE	"E8"
"C115"	"C115"	"E8"	0.138833257687563	0.153536500749332	TRUE	"E8"
"C151"	"C151"	"E8"	0.0331893236754708	0.0426719875827481	TRUE	"E8"
"GSM4904234"	"GSM4904234"	"E8"	0.537163029455089	0.544728705926287	TRUE	"E8"
"C158"	"C158"	"E9"	0.000634231815413908	0.00144967272094607	TRUE	"E9"
"C160"	"C160"	"E9"	5.3905152625424e-05	0.00015220278388355	TRUE	"E9"
"C163"	"C163"	"E9"	0.00448093435027555	0.00777415116192384	TRUE	"E9"
"C164"	"C164"	"E9"	0.00138200833083718	0.00280294647381062	TRUE	"E9"
"C166"	"C166"	"E9"	0.00112637112868643	0.00235068757291081	TRUE	"E9"
"C167"	"C167"	"E9"	0.00306436455945058	0.00558567717165676	TRUE	"E9"
"C169"	"C169"	"E9"	0.00246995029325711	0.00467990581880294	TRUE	"E9"
"C170"	"C170"	"E9"	0.000929348389429175	0.00196803188349708	TRUE	"E9"
"C171"	"C171"	"E9"	0.000590506944864048	0.00137150000097456	TRUE	"E9"
"GSM5688711"	"GSM5688711"	"E9"	0.00388690890833498	0.00691006028148441	TRUE	"E9"
"C154"	"C154"	"E9"	0.00496866400816401	0.00841750137853668	TRUE	"E9"
"C157"	"C157"	"E9"	0.000830371600599111	0.00183959246901957	TRUE	"E9"
"C159"	"C159"	"E9"	0.00296824341437789	0.00555100067104436	TRUE	"E9"
"C168"	"C168"	"E9"	3.78229121615578e-05	0.000108929987025287	TRUE	"E9"
"C173"	"C173"	"E9"	0.0207534112974883	0.0290635564190125	TRUE	"E9"
"C161"	"C161"	"E9"	0.00744682708819942	0.0119149233411191	TRUE	"E9"
"s0107"	"s0107"	"E11"	0.00419137155042401	0.00736045735684216	TRUE	"E11"
"s0115"	"s0115"	"E11"	0.000103578144406011	0.000281419864046521	TRUE	"E11"
"s0813"	"s0813"	"E11"	0.00936531497321826	0.0145011328617573	TRUE	"E11"
"s0920"	"s0920"	"E11"	0.00624173153819385	0.0100989813651676	TRUE	"E11"
"s1125"	"s1125"	"E11"	0.0324787285355748	0.0425176082647524	TRUE	"E11"
"s1231"	"s1231"	"E11"	0.0329845611700508	0.0426719875827481	TRUE	"E11"
"GSM5075660_p007t.tsv"	"GSM5075660_p007t.tsv"	"E12"	1.59357757929257e-11	4.58950342836259e-10	TRUE	"E12"
"GSM5075662_p008t.tsv"	"GSM5075662_p008t.tsv"	"E12"	2.86760747930346e-13	2.06467738509849e-11	TRUE	"E12"
"GSM5075665_p009t1.tsv"	"GSM5075665_p009t1.tsv"	"E12"	6.1439898059025e-11	1.10591816506245e-09	TRUE	"E12"
"GSM5075666_p009t2.tsv"	"GSM5075666_p009t2.tsv"	"E12"	3.23757429951425e-11	6.99730477378220e-10	TRUE	"E12"
"GSM5075668_p012t.tsv"	"GSM5075668_p012t.tsv"	"E12"	3.39677455285401e-10	4.89135535610977e-09	TRUE	"E12"
"GSM5075670_p013t.tsv"	"GSM5075670_p013t.tsv"	"E12"	1.05999627649612e-11	3.81598659538605e-10	TRUE	"E12"
"GSM5075672_p014t.tsv"	"GSM5075672_p014t.tsv"	"E12"	6.90858550983791e-08	4.521983242803e-07	TRUE	"E12"
"GSM5075674_p016t.tsv"	"GSM5075674_p016t.tsv"	"E12"	1.78615979465245e-13	2.06467738509849e-11	TRUE	"E12"
"GSM5075676_p017t.tsv"	"GSM5075676_p017t.tsv"	"E12"	5.39283880001844e-09	5.1771252480177e-08	TRUE	"E12"
"GSM5075680_p021t.tsv"	"GSM5075680_p021t.tsv"	"E12"	3.2182730401453e-09	3.86192764817436e-08	TRUE	"E12"
"GSM5075682_p025t.tsv"	"GSM5075682_p025t.tsv"	"E12"	5.29298787694525e-09	5.1771252480177e-08	TRUE	"E12"
"GSM5075683_p026t.tsv"	"GSM5075683_p026t.tsv"	"E12"	4.80496226394559e-12	2.30638188669388e-10	TRUE	"E12"
"GSM5075678_p020t.tsv"	"GSM5075678_p020t.tsv"	"E12"	2.05082989858271e-07	1.23049793914963e-06	TRUE	"E12"
"C103"	"C103"	"E13"	0.00155574718035774	0.00311149436071548	TRUE	"E13"
"C104"	"C104"	"E13"	0.014898884488263	0.0223483267323945	TRUE	"E13"
"C105"	"C105"	"E13"	0.0168554774447266	0.0250225644540272	TRUE	"E13"
"C106"	"C106"	"E13"	0.00303488835887836	0.00558567717165676	TRUE	"E13"
"C111"	"C111"	"E13"	0.0788933023180331	0.0938895498660889	TRUE	"E13"
"C112"	"C112"	"E13"	0.0405290267874049	0.0511945601525115	TRUE	"E13"
"C113"	"C113"	"E13"	0.0203554782904903	0.0290216720181248	TRUE	"E13"
"C119"	"C119"	"E13"	0.0197548810154805	0.0287343723861535	TRUE	"E13"
"C125"	"C125"	"E13"	0.00505408839834227	0.00846265964373589	TRUE	"E13"
"C138"	"C138"	"E13"	0.139401973348124	0.153536500749332	TRUE	"E13"
"C162"	"C162"	"E13"	0.0171357228179589	0.0251790212835314	TRUE	"E13"
"KUL31.T"	"KUL31.T"	"E13"	NA	NA	TRUE	"E13"
