"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"	"InitialState"
"PCDHB1"	"PCDHB1"	-0.0508876374542162	-0.0485088793906071	-0.0480263083586071	-0.0505632171790071	-0.0468114776244097	-0.0474719217294141	4.73572625209751	-0.0467720408277589	-0.0496586873546958	-0.0451920329365485	0.0132306062641236	-0.0499041909775729	"S01"	4.73572625209751	"IS07"
"MLANA"	"MLANA"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"SCGB2A2"	"SCGB2A2"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"NT5C1B"	"NT5C1B"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"TBPL2"	"TBPL2"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"FOXE1"	"FOXE1"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"TRBV10-2"	"TRBV10-2"	-0.0229147571035747	-0.0218435998252512	-0.0216262975778547	-0.0227686703096539	-0.021079258010118	-0.0213766566908935	2.77777777777778	-0.02106149957877	-0.0223613595706619	-0.0203500203500203	-0.0245579567779961	-0.0224719101123595	"S01"	2.77777777777778	"IS07"
"ARL14EPL"	"ARL14EPL"	0.0442283802675622	0.0172968394920658	0.00711792534752832	-0.0242865141650464	0.0673856278641469	0.0272985437233352	2.59209008537222	-0.0688836693063136	-0.0406267376948405	-0.0665567077465154	-0.0803191703994049	-0.0734965532283993	"S01"	2.59209008537222	"IS07"
"TRBV6-5"	"TRBV6-5"	-0.0734804525128093	-0.0700455864495194	-0.00745947134706093	-0.0214978049023888	-0.0675945815273819	0.00539646980600359	2.50923538247306	-0.0675376357973672	0.26153024724491	-0.0652561446410052	-0.0787496794611738	-0.0720603808462696	"S01"	2.50923538247306	"IS07"
"ZNF671"	"ZNF671"	0.0120353789803252	-0.0248711745029906	-0.121545136582827	-0.0938031994682998	-0.039574748596514	0.0494141761783692	1.91967804803784	0.217033180348793	-0.0598624344436663	0.36393275766309	-0.00970954786755955	-0.0524671344605045	"S01"	1.91967804803784	"IS07"
"OR52A1"	"OR52A1"	-0.032370336599299	-0.0308571753864877	-0.0305502052161204	-0.0321639683331832	0.275919680627593	-0.0301975521418001	1.84650088469506	-0.0297523481296	-0.0315885842842891	-0.0287472830523689	-0.0346915886344157	-0.031744752566144	"S01"	1.84650088469506	"IS07"
"TRBV5-7"	"TRBV5-7"	-0.0389219080560286	-0.0371024916462449	-0.036733392464643	-0.0386737720301705	-0.035804217275824	-0.0363093644199463	1.41505447841871	-0.0357740536555411	0.21201016834569	-0.0345655691405187	-0.0417129682604393	-0.0381697093834852	"S01"	1.41505447841871	"IS07"
"PAGE5"	"PAGE5"	-0.0539030253882097	0.0366090170763963	-0.0232085079135816	-0.0124136686743166	0.0244364399736674	-0.0895222879718164	1.33498622648931	0.0537334354516068	0.0106304854424041	-0.0852228862702803	0.0518525024468407	-0.0941090478948668	"S01"	1.33498622648931	"IS07"
"EML5"	"EML5"	0.0285873240634219	0.0552840559746905	-0.04697708703569	-0.135458575088202	-0.125407685874238	-0.0847894214774046	1.3011384505531	0.352008824826842	0.205142742890141	-0.121069202642935	-0.0998577258052613	-0.0704000098208049	"S01"	1.3011384505531	"IS07"
"COQ8B"	"COQ8B"	0.230924133400471	0.0110177938922238	-0.121524480128134	-0.127943806036542	0.307302930696728	-0.120121675098865	0.879029608851712	-0.118350715272218	0.194943020762452	-0.114352705761598	-0.111130228447844	-0.126276223845504	"S01"	0.879029608851712	"IS07"
"IL12RB1"	"IL12RB1"	0.00648212557864331	-0.246938801959821	-0.00906672327757164	-0.125313800910773	-0.0226269185853044	-0.0672205076377832	0.828098104798048	0.0657995182741467	0.0733994451084917	-0.0566441317778939	-0.106558796377729	0.394190484531971	"S01"	0.828098104798048	"IS07"
"COL5A3"	"COL5A3"	-0.083361701755074	0.118496429052849	-0.0755421280116427	-0.0963361258703694	0.00901303505813704	-0.0641011331624091	0.812239736222515	0.0976999280298178	0.132482320778285	0.0915754213080467	-0.0501573259594412	0.0214966517555302	"S01"	0.812239736222515	"IS07"
"PLD6"	"PLD6"	0.0230064600719833	-0.0115767211404331	0.0601730670658531	-0.0542944891507028	0.0830956224106838	0.00491255929632717	0.79731756201417	-0.0550323064604144	0.0198785452720868	-0.129705585465657	-0.0604511236137862	0.0205241032851281	"S01"	0.79731756201417	"IS07"
"IL2RB"	"IL2RB"	-0.184941451996445	0.300005408532128	0.168761966969993	-0.268870914391984	0.396585295223013	0.0147023139015144	0.766060880385598	0.229954343427571	-0.0676118500527887	0.334513789008151	-0.28636930066317	0.221808493866022	"S01"	0.766060880385598	"IS07"
"PRSS35"	"PRSS35"	0.197426725621449	-0.13664056633509	0.00426227233249046	0.0139862315958524	-0.131859298626063	0.413598363779353	0.764269565639355	-0.0570091840064649	-0.0381557482803768	0.0392150291220214	-0.135421389014161	-0.112246447325671	"S01"	0.764269565639355	"IS07"
"SPNS3"	"SPNS3"	0.0428488892073113	-0.113514598783968	-0.141146230991198	-0.180923396528385	-0.186145438209567	0.167345251553056	0.740945301731608	0.141017261197615	0.0364131218549893	0.262923590882562	0.0780317547026927	0.00400247803867141	"S01"	0.740945301731608	"IS07"
"GATA3"	"GATA3"	-0.150598883696294	0.125565503027406	0.0860264301008915	0.0228980658317256	0.00366976512058804	0.0282140829384231	0.709398395944551	0.0509381452286643	0.221913057531237	-0.0505512587669181	-0.179519909466162	-0.0385012778788091	"S01"	0.709398395944551	"IS07"
"TLE1"	"TLE1"	-0.0377529482614948	-0.169963170768455	-0.0630169246967601	-0.0140745301870337	-0.156733162797808	0.0454410487725588	0.695529294487509	0.267387262633449	0.215038173438532	-0.00355731619291731	-0.0351052826261168	-0.0472444527014273	"S01"	0.695529294487509	"IS07"
"CEP250"	"CEP250"	-0.00678307849801785	0.0238223037721738	0.115447330541933	-0.146872586817461	0.0419701274136981	0.125148542703863	0.69377592373326	0.0418382657475067	0.068331049599723	-0.105663719824477	-0.119605843198105	0.035153067912935	"S01"	0.69377592373326	"IS07"
"FASLG"	"FASLG"	0.484801927287037	-0.165681040053462	0.0704975154242232	-0.249802460008441	0.0933282499895968	-0.116388780727528	0.689205121738908	0.0462913399649294	-0.0168206159350419	0.178841798569514	-0.237433203917223	0.107774299881096	"S01"	0.689205121738908	"IS07"
"EEF1AKMT3"	"EEF1AKMT3"	0.378539404912867	-0.00542626755947434	-0.07709163144186	-0.0811638669825047	0.059084835330271	-0.0762017323187603	0.687471204864086	-0.0750782863915671	-0.0516090606703965	-0.0725420642627514	-0.0875421669418371	-0.0801060008510473	"S01"	0.687471204864086	"IS07"
"PPP2R2B"	"PPP2R2B"	-0.123910565815361	-0.0660799505827453	-0.0522017393598138	0.0162164795008185	-0.0996982576629535	0.111416629738121	0.668381759312009	0.0903534373095734	0.0602444896043594	0.00971840893590427	0.0846814665175247	-0.0905498535500416	"S01"	0.668381759312009	"IS07"
"SPOCK2"	"SPOCK2"	-0.257417407623073	0.199041098155881	0.243931643997699	-0.063692593869911	0.110013665455633	0.163010659081576	0.659297267996513	0.173580015494854	0.150432084225187	0.205794813236169	-0.372421564850098	0.137441363548991	"S01"	0.659297267996513	"IS07"
"CA2"	"CA2"	0.0432827071555457	0.107647596247023	0.102127112141675	0.0360286838089713	-0.114734465080317	-0.0440971979800946	0.650393078859208	-0.0856698748427078	0.0656585936891117	-0.0463110095936505	-0.262847514014023	0.183029098065618	"S01"	0.650393078859208	"IS07"
"CTLA4"	"CTLA4"	-0.0836405948278485	-0.0481057887903594	0.0457325488645552	-0.341277451720926	0.287361919335561	-0.257686939553477	0.648595104926971	0.481308657308698	0.157363920069376	0.364953727847403	-0.176124920814774	0.263131479344472	"S01"	0.648595104926971	"IS07"
"ACP6"	"ACP6"	0.206082795012367	-0.199606591690702	-0.0203311772560214	-0.0621658449421636	-0.053300516464425	-0.037373573711479	0.646990643220532	-0.0861848548728309	-0.026211939263691	0.490399151830643	0.057139968554925	-0.097141784984178	"S01"	0.646990643220532	"IS07"
"LPAR5"	"LPAR5"	0.451488300815723	-0.179987769709107	-0.149598611480694	-0.175606639112967	-0.158084501100651	-0.00477209947042633	0.62818532674343	0.103042083154232	-0.0506034410282918	-0.197120085488176	0.0542513041275538	-0.0878245624830899	"S01"	0.62818532674343	"IS07"
"AQP3"	"AQP3"	-0.281218973348566	0.00373080551717188	-0.0298836523572517	-0.0724017435454383	0.0124706677032807	0.314929635120949	0.62354899989638	0.07808687869929	0.337403772862039	0.159919741795964	-0.330439684335033	0.289530129906171	"S01"	0.62354899989638	"IS07"
