"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"State"	"MaxFC"	"InitialState"
"PCOLCE"	"PCOLCE"	-0.243578780416444	-0.0744878117773061	-0.214479414448435	-0.212027506736892	-0.00471396626500395	-0.0365423947703795	2.59790719871704	-0.127239886916081	0.118867071024567	-0.156259702401403	-0.166782563057749	-0.248570148867601	-0.206331857863767	0.204374151473493	-0.0142895409409325	-0.164309713503873	-0.172351875226962	-0.126221458185682	"S01"	2.59790719871704	"IS07"
"ENPEP"	"ENPEP"	-0.134922537652005	-0.1452473492233	-0.141574849875049	-0.153405077056389	-0.145625105658211	-0.143632799809103	2.54575105262142	-0.118132566998801	0.0311044137218438	-0.0938457995821617	-0.143632799809103	-0.137687343751431	-0.146834405049603	-0.136901841382841	0.0606900568248416	-0.138767913570216	-0.113107496211115	-0.0555073844111536	"S01"	2.54575105262142	"IS07"
"CYGB"	"CYGB"	-0.25570583318847	0.0562221647042811	0.0506736189507359	-0.233218918052717	0.321016895859554	-0.242508533513236	2.53041726381714	-0.239299212056791	0.0640022190644576	-0.179137664816397	-0.131218150673087	-0.168474485457473	-0.247428338914558	-0.259457019005416	0.0138569671015655	-0.262993607864226	-0.247975674670548	-0.174377905272421	"S01"	2.53041726381714	"IS07"
"GUCY1A2"	"GUCY1A2"	-0.164940448258373	-0.162791072662696	-0.173072783886789	-0.187535030211575	0.193870548736325	-0.175588591775695	2.51710515655331	-0.176418262956765	0.0959465760376	-0.174173755794466	-0.175588591775695	-0.117584691237133	-0.14658764459483	-0.0717730282031966	-0.0561662150649889	-0.0977226504500427	-0.176721908848257	-0.0891931405789271	"S01"	2.51710515655331	"IS07"
"CDH6"	"CDH6"	-0.161520921321305	-0.159619118288834	-0.169484658276464	-0.183647074926963	0.0943992318858159	-0.171948308717422	2.51118420464896	-0.172760779248303	0.262933099309846	-0.14361661375133	-0.153438746800208	-0.164830776266414	-0.175781072591805	-0.163890421389588	-0.129370454700951	-0.166124367653883	-0.173058129987113	0.0193102599105306	"S01"	2.51118420464896	"IS07"
"RASL12"	"RASL12"	-0.145310319428629	-0.156430045558706	-0.152474797883391	-0.16521584263803	0.0564235656230821	-0.15469119084108	2.48355744882424	-0.0641879104787996	0.218044229210615	-0.153444739345753	-0.146160670757152	-0.148287989908724	-0.158139289937625	-0.147442011156189	-0.151517041615279	-0.149451753563522	-0.155689627959246	-0.151962492808604	"S01"	2.48355744882424	"IS07"
"ID4"	"ID4"	-0.186441272232177	-0.158641169231101	-0.195633699055255	-0.188716128960112	0.142017442745041	-0.120280347737895	2.42641954842645	-0.199415278289571	0.0937534722088187	-0.196878188234996	-0.198477455262129	-0.190261790105787	-0.202901559378549	0.0993518062181922	-0.106292541071767	-0.191754964005833	0.0993442225863925	-0.108918691393104	"S01"	2.42641954842645	"IS07"
"FAM162B"	"FAM162B"	-0.194870173063673	-0.209782417176198	-0.204478184124967	-0.221564717318971	0.0417883762494365	-0.207450504886082	2.41502740262883	-0.208430726343877	0.407198079145184	-0.205778935932377	-0.207450504886082	-0.147628548806322	-0.212074620161078	-0.0756269322189375	-0.129000073735446	0.842535470258211	-0.20878947113965	-0.130312239554451	"S01"	2.41502740262883	"IS07"
"SLIT3"	"SLIT3"	-0.155622033204149	-0.157405900388126	-0.163294927382356	-0.176940119944443	0.168622101552336	-0.165668603111727	2.40958197007913	-0.166451401494128	0.18218467714177	-0.0765213173513654	-0.165668603111727	-0.158811009294398	-0.169361391030739	-0.0691160750789566	-0.0551995047006642	-0.160057357570562	-0.166737892718731	-0.162746267399551	"S01"	2.40958197007913	"IS07"
"PLXDC1"	"PLXDC1"	0.138512753758217	-0.0637867764892151	-0.243033218607326	-0.202041486272961	0.0933538434020973	-0.21640682533248	2.36545721998616	-0.213977980302861	0.236722590225516	-0.206200570952576	0.118816792638382	-0.18642834256027	-0.252061987655239	-0.148985358007521	-0.103496284831069	-0.0650136010526577	-0.170653650209506	-0.0038396810864846	"S01"	2.36545721998616	"IS07"
"CD248"	"CD248"	-0.182429748739529	-0.196390001885615	-0.191424388690024	-0.20742012527919	-0.0284502702263749	-0.160915807762421	2.35968518629687	-0.131218538298971	0.702391871213812	-0.122985889721156	-0.168435669270407	-0.111430312538847	-0.157135837157325	-0.185105979772382	-0.0825908705766905	-0.187629109608189	-0.195460445078066	-0.11670077280825	"S01"	2.35968518629687	"IS07"
"LGI4"	"LGI4"	-0.127007959847328	-0.115930184341153	-0.133270046363189	-0.144406310511346	0.101398706754488	-0.135207276622423	2.35715853838523	-0.135846142620209	0.0170607412908008	-0.134117820195016	-0.135207276622423	-0.129610581975347	-0.119306642911508	-0.128871157302301	-0.132432922956385	-0.130627765394402	-0.13607995697928	-0.132822267962977	"S01"	2.35715853838523	"IS07"
"MXRA8"	"MXRA8"	-0.17759251244745	-0.171026843460418	-0.170420141160054	-0.17978829394	-0.0925186304336617	-0.114309658382535	2.34893834752524	-0.106825900599375	0.525583241094585	-0.18753407802975	-0.189057441639226	-0.181231703276291	-0.193271571675765	-0.0116177561453676	-0.119407081379576	-0.103049473812224	-0.125051530613954	-0.0312998444809596	"S01"	2.34893834752524	"IS07"
"SMOC2"	"SMOC2"	-0.153112515333479	-0.0701924392236926	-0.160661678542083	-0.0771282079621473	-0.0323871895130538	-0.138221632405902	2.29703117469472	-0.134550170381321	0.183977356415299	-0.161683699397949	-0.162997077033075	-0.0504048067506102	-0.166630316075333	-0.155358664702674	-0.159652497144205	-0.157476316885734	-0.140486112282092	-0.0769788703949125	"S01"	2.29703117469472	"IS07"
"COL14A1"	"COL14A1"	-0.169252596408336	-0.144286801028879	-0.177597541111149	-0.138674509927737	0.243089057652477	-0.152941465250716	2.28981173724331	-0.181030483271803	0.210706774620497	-0.178727296461729	-0.180179121443675	-0.151631041488375	-0.18419535186047	-0.17173551958303	-0.105024082542124	-0.174076400271275	-0.174149430403272	-0.0270082628860955	"S01"	2.28981173724331	"IS07"
"CSPG4"	"CSPG4"	-0.154464561003429	-0.166284806268283	-0.162080386387922	-0.129473573929422	-0.0575571756166182	-0.164436407395698	2.26182410920412	-0.0977829481124201	0.311504487370835	0.00634473064947727	-0.124315066973324	-0.15762981840104	-0.168101729413697	-0.15673054478343	-0.121469468181066	-0.158866896694976	-0.165497743932245	-0.0780115243000282	"S01"	2.26182410920412	"IS07"
"OR51E1"	"OR51E1"	-0.130173048686444	-0.140134410388778	-0.136591188887166	-0.148004973164039	0.100847378424718	-0.138576695694418	2.23073713643189	-0.139231482486789	0.00689726998822271	-0.137460089579832	-0.0817390817560873	-0.132840529192313	-0.141665599313481	0.0404659497794062	-0.135733204032347	-0.133883061226454	-0.139471123592618	-0.0355825690586519	"S01"	2.23073713643189	"IS07"
"ASPN"	"ASPN"	-0.17149826713022	-0.161472950471377	-0.179953933904024	-0.164148385713434	0.139510067656528	-0.119194021148522	2.22668546229438	-0.129695870651736	0.197487172197975	-0.147372127909957	-0.166108468570283	-0.175012575882889	-0.186639285469514	-0.0636816313314779	-0.110645390182479	-0.176386074000103	-0.126435334621547	0.033570996863585	"S01"	2.22668546229438	"IS07"
"LINGO1"	"LINGO1"	-0.148618640759158	-0.143266378121835	-0.115635394530334	-0.127153093031516	0.00349601695989207	-0.158213089136513	2.22596647691223	-0.158960659574873	-0.016369062483118	-0.156938259325829	0.0376026915001026	-0.151664104709141	-0.111977975308618	-0.150798865317972	-0.0715391259063809	-0.0742911213354753	-0.0778540074613067	-0.155422266060607	"S01"	2.22596647691223	"IS07"
"S1PR3"	"S1PR3"	-0.153291633474342	-0.165022121639045	-0.160849628045138	-0.174290487374937	-0.0504149896725031	-0.163187758593891	2.199601213057	-0.0962612693112357	0.277757735881684	-0.161872844508529	-0.100302495347344	-0.156432855471767	-0.0434134794494879	0.0703431406005143	-0.11527552536531	-0.15766054000459	-0.148788267943727	-0.066298351251349	"S01"	2.199601213057	"IS07"
"ITGA7"	"ITGA7"	-0.14511085882746	-0.156215321435527	-0.123534065633293	-0.125315151043058	0.0648833669994241	-0.154478853561511	2.18193425660943	-0.134862640623084	0.00102750430581564	-0.131738445494169	-0.0261063659465177	-0.0670329415116273	-0.157922219615549	-0.14723962448263	0.0206847319842995	-0.149246608211638	-0.108201268467052	-0.151753901083736	"S01"	2.18193425660943	"IS07"
"TPPP3"	"TPPP3"	0.557350848941119	-0.319239680751839	-0.00568746083830467	-0.13024231348739	-0.134228713101873	0.0691094213530791	2.17668541542819	0.0435290384268218	0.0912231258261541	-0.197855944525087	-0.265083866694357	-0.199750485685995	0.0857279869354873	-0.236732575901887	-0.0700821401443816	-0.0932184553435372	-0.165456269481966	-0.193905073610244	"S01"	2.17668541542819	"IS07"
"DAAM2"	"DAAM2"	-0.148056826761348	-0.0686760381902862	-0.15535672087474	-0.128297610289521	-0.00843684353454344	-0.0986095182661883	2.16937845743943	-0.1482546815109	0.254765858759211	-0.156344995180559	-0.157615005829738	-0.151090778129409	-0.161128277375768	-0.150228809550023	-0.0705751696707537	-0.152276538056901	-0.158632314387159	-0.0321413048809611	"S01"	2.16937845743943	"IS07"
"PRKG1"	"PRKG1"	-0.152650173346712	-0.164331574419936	-0.160176540932706	-0.106932790748286	0.0269258014501157	-0.162504887402014	2.16054313122178	-0.16327273695589	0.119437225587261	-0.0610277340761082	-0.162504887402014	-0.15577825066939	-0.16612715543414	0.0443301820847064	-0.12970877807229	0.195213071085587	-0.163553757157191	-0.0716643407647412	"S01"	2.16054313122178	"IS07"
"AVPR1A"	"AVPR1A"	-0.135481912592349	-0.145849529768677	-0.142161804616498	-0.15404107870089	0.137975357756423	-0.144228286598953	2.12569607766171	-0.124901359361919	0.165703881868458	-0.143066141795992	-0.144228286598953	-0.138258181293012	-0.147443165364926	-0.137469422312531	-0.0692702878800662	-0.139343231042937	-0.145159192063232	-0.033719668369803	"S01"	2.12569607766171	"IS07"
"PDE5A"	"PDE5A"	-0.16503665134811	-0.161934520977131	0.0456062885953036	-0.187644411806755	0.0870110386676568	-0.0989840495490658	2.11883237055279	-0.0209142083535752	0.0267115879585487	-0.174275344298895	-0.102196929435455	-0.140282921975729	-0.155331456963731	-0.167457726918009	-0.110315367374579	-0.169740298164723	-0.17682498358726	0.0157970159635024	"S01"	2.11883237055279	"IS07"
"ADAMTS2"	"ADAMTS2"	-0.138936316819204	-0.097283295473449	-0.145786527130138	-0.157968688986218	-0.0969363241815926	-0.0426153401835008	2.11872989311136	-0.148604565670025	0.213957729957023	-0.14671392234089	-0.147905698537759	-0.0894319334244137	-0.151202547587333	0.080418756304623	-0.144870782612989	-0.0713923230120738	-0.148860339449147	0.0617803827651401	"S01"	2.11872989311136	"IS07"
"NFASC"	"NFASC"	-0.156577356722781	-0.124038686341701	-0.1642973528191	-0.11375344281854	0.0202203644020192	-0.166685599931477	2.07605458297951	-0.10460294311654	0.218833619727613	-0.143479469204758	-0.116861334530945	-0.159785909114641	-0.100176576261994	-0.158874335061012	-0.00824828324751239	-0.0267757329754479	-0.167761453631551	-0.163745324754189	"S01"	2.07605458297951	"IS07"
"PTN"	"PTN"	-0.140894421344238	-0.098979664180715	-0.147841175367532	-0.123808979778397	0.054652447417955	-0.149990213401947	2.05116717815844	-0.150698930046028	0.173077704745335	-0.148781640859692	-0.149990213401947	-0.143781602109489	-0.153333526725154	-0.142961332170804	-0.111459220700135	-0.14490999964773	0.050126148681571	-0.147344438953025	"S01"	2.05116717815844	"IS07"
"ABCC9"	"ABCC9"	-0.152837148589015	-0.118941160323511	-0.160372734929055	-0.17377374428614	0.343160588365582	-0.162703933299123	2.0319679007953	-0.163472723361962	0.156532188789879	-0.161392917721225	-0.162703933299123	-0.155969057371577	-0.166330638106052	-0.155079258348267	-0.0929989104835215	-0.157193102018442	-0.163754087773945	-0.00165736328978924	"S01"	2.0319679007953	"IS07"
"GPR20"	"GPR20"	-0.100401838517131	-0.108084988286924	-0.105352118798001	-0.114155515026327	-0.0632693741870131	-0.106883530529139	1.9725259806195	-0.107388564393323	0.123401807637325	-0.106022297670761	-0.106883530529139	-0.102459253240842	-0.109265986847752	-0.101874726123739	-0.0396086887408467	-0.103263353121708	-0.107573398411212	-0.10499814275836	"S01"	1.9725259806195	"IS07"
"CACNA1H"	"CACNA1H"	-0.109754236109868	-0.0719746663458031	-0.115165633339052	-0.124789062974233	-0.0535932142829048	-0.116839695559457	1.96104830755314	-0.11739177315875	0.0584937122305228	-0.115898239149097	-0.116839695559457	-0.112003298325234	-0.119444076885302	-0.111364322703167	-0.018348323608423	-0.112882299840385	-0.11759382440343	0.020870382994732	"S01"	1.96104830755314	"IS07"
"LMOD1"	"LMOD1"	-0.118110765340484	-0.0921930348234015	-0.123934178549434	-0.0890370559369257	0.00745025324163927	-0.125735701452675	1.95661932106173	-0.126329813444075	0.1805546700555	-0.124722563909163	-0.125735701452675	-0.120531067908937	-0.128538376616174	-0.119843441604648	-0.0764749837930691	-0.121476995331601	-0.113032347254523	-0.123517768037718	"S01"	1.95661932106173	"IS07"
"LPL"	"LPL"	-0.159621729167307	-0.171836621541978	-0.0526958207538833	-0.181487719464198	0.187900077344673	-0.169926509459852	1.9559901130021	-0.147494399006868	0.239288672265166	-0.16855729670339	-0.146049627807807	-0.0963363496907181	-0.17371420700463	-0.161963368225996	0.00773579755029187	-0.164171047346796	-0.0538682857773375	-0.0859778371719643	"S01"	1.9559901130021	"IS07"
"FOXF2"	"FOXF2"	-0.111026948912953	-0.0708062688326961	-0.1165010968366	-0.126236119996919	-0.119834028085502	-0.118194571523408	1.93573996298524	-0.0854888956860972	0.285975012201501	-0.117242197961515	-0.118194571523408	-0.11330209130871	-0.120829153318729	-0.11265570610972	-0.0315920138536896	-0.114191285746903	-0.118957445263878	-0.116109660979946	"S01"	1.93573996298524	"IS07"
"RASD2"	"RASD2"	-0.1140268928625	-0.12275268622033	-0.119648952055467	-0.129647015172431	-0.0760365882423173	-0.121388184364098	1.92406614449795	-0.121961753963756	0.248591999098284	-0.120410077704675	-0.121388184364098	-0.116363509519518	-0.124093952459626	-0.115699659016962	0.132505796846203	-0.117276729957713	-0.122171670924107	-0.11924693961681	"S01"	1.92406614449795	"IS07"
"EFHD1"	"EFHD1"	-0.185934816303819	-0.100962902057192	-0.162128351349856	-0.167432547803925	0.186427365337073	-0.197938303803553	1.88220267690448	-0.112384211450593	0.206964659742597	-0.169467426269413	-0.0711833693391023	-0.0351004589189935	-0.0641274367764051	-0.188662466420745	-0.0485467301623488	-0.191234073769727	-0.0958601109854841	-0.194446741955695	"S01"	1.88220267690448	"IS07"
"ARHGEF17"	"ARHGEF17"	0.247149087365106	-0.176215026508614	-0.122277956830542	-0.226056451822092	0.0165255347164686	-0.166436890785745	1.84036178507527	0.0126849579059031	0.141081158748057	0.283710411884533	-0.235337538963507	-0.214207514679194	-0.193270154059537	-0.197989267036029	-0.0323368018153262	-0.0778897032800983	0.0521025090767516	-0.168692329140864	"S01"	1.84036178507527	"IS07"
"MMP11"	"MMP11"	-0.205758060109783	-0.120005035741791	-0.206126811205234	-0.169270178844351	-0.0483163105333016	0.0285357688217675	1.83192395990577	-0.0589482844416194	0.246362648154706	-0.123124905015563	-0.219041286735083	-0.159566677870456	-0.172755384832566	-0.208776515759315	-0.0828379604059946	0.298828201691279	-0.154558650335929	0.0679647626629483	"S01"	1.83192395990577	"IS07"
"ACAN"	"ACAN"	-0.113232971377166	-0.121898010691372	-0.118815886527241	-0.128744337319244	-0.0660568843801482	-0.120543009289929	1.83065712562703	-0.0867698357604114	0.274606643935057	-0.119571712777415	-0.060805234507438	-0.115553319151288	-0.123229938255745	-0.114894090761672	-0.0709504749210082	0.0151172145605239	-0.12132104076125	-0.118416673132778	"S01"	1.83065712562703	"IS07"
"KCNE4"	"KCNE4"	-0.200406609103233	0.227726282010814	-0.105687595369728	-0.157569032432608	-0.141501974172437	-0.0735801178339374	1.81711900966543	-0.179066222600089	0.163044558237597	-0.157547032391546	-0.00503784917626967	-0.204513301912725	-0.148688148500206	-0.0767776151086808	-0.019664680996646	-0.206118321630338	-0.182975825416349	-0.0354116568307324	"S01"	1.81711900966543	"IS07"
"LRRC4B"	"LRRC4B"	-0.0864010855603245	-0.0930128417834881	-0.0906610632301761	-0.0982368507055744	-0.0246769788059548	-0.0919789239184301	1.74192702743794	-0.0924135322359141	0.0756059988458559	-0.0912377875509788	-0.0919789239184301	-0.0881715996086918	-0.0940291534288496	-0.0876685831480065	-0.0900915841897856	-0.0888635700310648	-0.0925725916717762	-0.0903564481500243	"S01"	1.74192702743794	"IS07"
"MFGE8"	"MFGE8"	-0.424265514289452	0.0848836031686705	0.0851263664468779	-0.341905700511382	0.122168245190253	0.00669109894002598	1.64591647557292	0.0810816483622797	0.131341034136059	0.0372897272710175	0.00747750380736673	-0.10066814971943	-0.198763024823157	-0.162308165166086	-0.273328148159519	-0.162039288562331	-0.0568730848143852	-0.415927835781184	"S01"	1.64591647557292	"IS07"
"ITPRIPL2"	"ITPRIPL2"	-0.554594386868783	-0.176210508989251	0.326982118946044	-0.36033287792437	-0.539026012229221	0.141153042452624	0.672335670372165	0.495143939271891	-0.307075017420067	0.537710781064166	0.0619210747947496	0.380515998283936	-0.169340705552595	-0.287855091060027	0.0115248387789725	-0.233056988470309	0.22973692721374	-0.161750989106169	"S01"	0.672335670372165	"IS07"
"FOS"	"FOS"	-0.402561827058764	0.426978933486668	-0.0552835193647163	-0.36641209791897	-0.0590988566643116	0.104920149488114	0.625595913326022	-0.522343736598854	0.303410278765874	-0.384465453044218	0.316476004092403	-0.146486254767792	0.0163618588171004	0.571261015400743	0.49299913596196	-0.0774482857411011	-0.168367861322463	-0.182008053975875	"S01"	0.625595913326022	"IS07"
"NME4"	"NME4"	0.0417747757653434	-0.292819604699728	0.324609422036258	-0.40673283750641	-0.797034457932909	0.478049322553648	0.553703353293208	0.475727815238717	0.242603784114951	0.14349059221697	-0.183271186511567	0.396896876278748	0.473351519567667	0.0270853688154875	-0.230692751182481	-0.0128792103873306	-0.0287152844095685	-0.415680131453163	"S01"	0.553703353293208	"IS07"
"SLC26A2"	"SLC26A2"	0.175051674913104	-0.132854482996683	0.117634948183092	-0.322281546860494	-0.320126426312483	-0.222627602277525	0.480883394359995	0.138088754281254	-0.0313696558305721	0.399182953877157	0.00551807338660548	0.181274671240211	-0.112881730791363	-0.224276504150293	0.471001825205391	-0.265585609381783	0.323571375219419	0.0267013852699578	"S01"	0.480883394359995	"IS07"
