"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"State"	"MaxFC"	"InitialState"
"STK32A"	"STK32A"	1.58278176262755	0.0436638186825305	-0.0239054881747486	-0.0850403955663663	-0.0808884669249395	-0.0342632382481864	-0.075738017602372	0.0531933932095515	0.00674190453718611	0.118078197969586	-0.0764872807608456	-0.0771872475564939	-0.0103841464240831	0.128500597118419	-0.0786596621983092	-0.0802587124246589	-0.075552989872073	"S01"	1.58278176262755	"IS01"
"MATN2"	"MATN2"	1.58268131665365	0.470374024494605	-0.340370449964176	-0.438447942823558	-0.334883830965085	-0.433307276707565	-0.326644127035057	0.361163923994756	0.0537296591136824	-0.381994948126552	-0.257732820719919	0.0554157294948011	0.452948514574124	-0.263393580349684	1.42587055122978	-0.190846553074127	-0.235593586559265	"S01"	1.58268131665365	"IS01"
"CD9"	"CD9"	1.51168109077619	0.192856788977819	0.463595211963621	-0.329091212506843	-0.425910102010999	-0.355953749983172	0.0125086483457484	0.11929190522746	-0.419470385162363	0.730799647631293	0.674051088166286	0.249684916144562	-0.119599317005563	-0.450187602764776	-0.290178954687454	-0.131276411307926	-0.187037126657006	"S01"	1.51168109077619	"IS01"
"C1QL3"	"C1QL3"	1.42857142857143	-0.021997360316762	-0.0218150087260035	-0.0229147571035747	-0.021795989537925	-0.0218435998252512	-0.0204081632653061	-0.0209995800083998	-0.0209731543624161	-0.0217013888888889	-0.0206100577081616	-0.0207986688851913	-0.022075055187638	-0.0202922077922078	-0.0211954217888936	-0.0216262975778547	-0.0203583061889251	"S01"	1.42857142857143	"IS01"
"RBM11"	"RBM11"	1.38201617232832	0.112742846841321	-0.0872525243079269	-0.0916511391905447	-0.087176454103648	0.0348384802251364	-0.0816256268219463	-0.0350064646179206	-0.083885396692017	-0.0193710484014322	0.189600564346372	0.13355520474802	-0.0485717028197064	-0.0811618448513671	0.0559432514022738	-0.086497744685886	-0.0814262156815018	"S01"	1.38201617232832	"IS01"
"CHL1"	"CHL1"	1.30670137694415	0.169272044630335	-0.275508603456813	-0.399329569725012	-0.311624260769703	-0.125792298449087	-0.17644405738034	0.00245724404562111	-0.0924143788461736	-0.377326177755112	0.0636942641506892	-0.12544364165937	0.499156502377159	0.130264121319011	1.29403633499321	-0.0912394197691157	-0.159621956712209	"S01"	1.30670137694415	"IS01"
"LRRIQ1"	"LRRIQ1"	1.26510038060839	0.107609373786607	0.0450615052921811	-0.0619632495890233	-0.0589380168279201	-0.0590667586733284	-0.0551852288176525	-0.0567844647640692	-0.0567130078033762	-0.0586822094632156	0.251273360189694	-0.0562411857750619	0.00267505708042843	-0.0548716763811886	-0.0573140358640308	-0.0584791568353152	-0.0550504114834075	"S01"	1.26510038060839	"IS01"
"MAP1B"	"MAP1B"	1.25121697268099	0.187609238590063	-0.30206832484168	0.984987172726811	-0.2207626375033	-0.562641540546141	-0.403358841734422	-0.0227204393685721	-0.601083138119357	1.0111185932783	0.228435748670717	-0.040966497734062	-0.450889552256838	-0.352064780812485	-0.613591967360788	-0.233609242480588	-0.530794264185123	"S01"	1.25121697268099	"IS01"
"AKAP6"	"AKAP6"	1.24852307423557	-0.155931194838217	-0.154638571495318	-0.0803154423515297	-0.154503751467859	-0.154841243279715	-0.144665961578477	-0.0421471263421201	-0.148670975615465	1.07180860949414	0.242885617839736	-0.0753344614346142	-0.130385319160394	-0.14384399588769	-0.150246547633433	-0.0960144774612699	-0.144312543105565	"S01"	1.24852307423557	"IS01"
"GPC1"	"GPC1"	1.22722656759687	-0.324044271800235	0.221623814272987	-0.220630836050893	-0.474080195728077	-0.182154350938976	0.394602421711259	0.382763758255622	0.547011349661522	-0.235323710481584	-0.486257152095452	0.177597587096497	-0.0621947998566788	0.213013622405856	0.046019115455542	0.637687363535055	-0.120261160559923	"S01"	1.22722656759687	"IS01"
"WNT16"	"WNT16"	1.19646656664743	-0.0303571039396809	-0.0301054525544916	-0.0316231426466062	-0.0300792054293351	-0.0301449092419811	-0.0281639580632223	0.207005843609513	-0.0289436649559122	-0.0299486533224369	-0.0284425792476895	-0.0287028690744154	-0.0304643254988498	-0.0280039355742268	-0.0292504015493407	-0.0298450247642278	-0.0280951536054132	"S01"	1.19646656664743	"IS01"
"FHOD3"	"FHOD3"	1.15375975704829	-0.094855110614403	0.053541409177183	-0.214827687817149	-0.0351566410415275	-0.140491787886511	-0.0692937230338816	-0.0755391364743949	0.274949859029586	-0.161260973645001	-0.0767761956447022	-0.0594888903087483	-0.052900786271339	-0.0883276632546785	-0.209173926208371	0.750378666725861	-0.0831790025193889	"S01"	1.15375975704829	"IS01"
"EFR3B"	"EFR3B"	1.09410272336525	0.0451570144908906	0.0727489767625057	-0.0329698966609497	0.0355965080818287	-0.112649788751944	-0.105247088348245	0.0554924150876098	-0.108160808076007	-0.0760855968358279	-0.106288279659192	0.0379731529677592	-0.0556488028955624	0.164909310713125	-0.109307065050106	0.0511503427401672	0.0829333955870532	"S01"	1.09410272336525	"IS01"
"LYPD1"	"LYPD1"	1.05843841672981	-0.201874711817356	-0.158692146729343	0.96388215907651	-0.156634497190014	-0.168118743745229	-0.0777977839430313	0.0411996006275748	-0.19247534394331	-0.0529575204178432	-0.0979501758954165	-0.190874051564414	-0.202587735082053	-0.186226144464631	-0.19451514199273	-0.18226556599371	-0.186832744283734	"S01"	1.05843841672981	"IS01"
"MAGEE2"	"MAGEE2"	1.00131078670882	-0.036835248631109	-0.0365298953483904	0.0262710172541976	-0.036498047139717	-0.0365777720133293	-0.0341740898524533	-0.0351644351694711	-0.0351201846218585	-0.0363396354767842	-0.0345121682351652	-0.0348280033854038	0.104209647293703	-0.0339799188873826	-0.0354923781850406	-0.0362138927934735	-0.0340906026622601	"S01"	1.00131078670882	"IS01"
"SLITRK6"	"SLITRK6"	0.982364824015921	-0.195474787135711	-0.193854359144621	-0.203627035361811	-0.109619795094608	-0.167118610961525	-0.181352731085498	-0.0894943407367689	-0.134739526562691	-0.192844701024076	0.120233360748431	-0.152239088150891	0.131069032248063	-0.180322317840694	0.674710605543477	0.711276310427669	-0.180909686954182	"S01"	0.982364824015921	"IS01"
"FHDC1"	"FHDC1"	0.842635139748266	0.0518369174023103	-0.0436905687945253	-0.129946309925094	0.0308540336530914	-0.0555815910113331	0.0187058098511979	0.0392146834568915	0.00114918925165896	-0.123065472333574	-0.116876689306082	0.0616811690592293	-0.0215991592072108	0.0630562587304816	0.279893138095658	-0.00529677451816189	-0.115449042449737	"S01"	0.842635139748266	"IS01"
"SPRN"	"SPRN"	0.729393703705497	-0.0575249960198495	-0.0570481308695977	0.128784040143331	-0.056998394051054	-0.0571228990620874	-0.0533691085522931	-0.0549157143860218	-0.0548466090407374	-0.0567510051879852	-0.0538970799476991	0.0566847663588141	-0.0577281748137386	-0.0530658749809732	-0.0554278575468919	0.179969348348166	-0.0532387279939405	"S01"	0.729393703705497	"IS01"
"SPAG8"	"SPAG8"	0.697558306426995	-0.0441866666728405	-0.0360947928627229	0.0658962682145145	0.00272033884880495	-0.0466250697438345	0.128600911287719	-0.0943944018472349	0.016750658032649	0.0904660627683563	0.0755236276786661	-0.0416902028595923	-0.0992287288292566	-0.0912147202915042	-0.0952747226783664	-0.0213966329483254	0.1739958788369	"S01"	0.697558306426995	"IS01"
"ST6GALNAC5"	"ST6GALNAC5"	0.684290022946266	-0.0722950922506874	0.675108239078296	-0.279949878384148	-0.211970656579838	1.45518981043535e-05	0.336257244387355	-0.0570295076853604	0.326296361734624	-0.265126143504432	-0.0320266363368214	0.318887094351257	-0.00333685267653967	0.405787642655002	-0.233205739885848	-0.159268641829188	0.000192432150587669	"S01"	0.684290022946266	"IS01"
"RASAL2"	"RASAL2"	0.600648703041307	-0.225418413770385	0.0923070391159205	0.424394731696739	-0.350426696078823	-0.254254992464551	-0.151839256626042	0.408079438181919	0.0602164871465922	0.419747959678501	-0.280911891761922	0.0833746732584247	-0.048058894621159	0.133032266312527	-0.371595575638842	-0.241578158555239	-0.141143617308132	"S01"	0.600648703041307	"IS01"
"LIN7B"	"LIN7B"	0.598094138531843	-0.0242497852996992	-0.017122685939964	-0.0539000648808193	-0.175668121706969	0.0781956712436048	0.106198939413309	0.0182112257053406	0.0616334160110591	0.0343849490198596	0.0594427503885379	0.328069678907585	-0.179766290628819	0.121081538869973	-0.0413896386517214	0.0231987334317272	0.0298373070262742	"S01"	0.598094138531843	"IS01"
"RECQL5"	"RECQL5"	0.587873442615239	0.00240748095672329	-0.00762916533235652	-0.00951788481927277	-0.141469581488641	0.0191367561911997	0.284710755189873	0.0285493258431847	0.140563997142781	0.0156242675177925	0.260780715051078	0.0560012913534954	-0.0894509002593306	-0.0936544507419935	-0.0634762982412762	-0.0848363971464393	-0.174298482006333	"S01"	0.587873442615239	"IS01"
"ZNF658"	"ZNF658"	0.541082594461192	-0.0593605931654995	-0.0549974576101963	0.0624108213529056	-0.0255960562459664	0.0450315608680166	-0.13031435320627	-0.0844802766073088	-0.0707754255066122	0.0171757661797637	-0.131603530649366	-0.132807889082929	0.0106618564968698	-0.129573930744871	0.00666275695769906	0.157380547660216	-0.0148508652761958	"S01"	0.541082594461192	"IS01"
