"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"State"	"MaxFC"	"InitialState"
"DOP1A"	"DOP1A"	-0.0754927826511953	-0.0766614015776844	3.53737610137029	-0.0750352506351275	-0.0786083578082288	-0.0771390427090095	-0.0771390427090095	-0.0845106918416111	-0.0732592683715741	-0.0786083578082288	-0.0771390427090095	-0.07885870289679	-0.0750352506351275	-0.0743592573861624	-0.0773801022174752	-0.0739153215211703	"S01"	3.53737610137029	"IS03"
"PIP4P1"	"PIP4P1"	-0.243403287606369	-0.247171140355693	2.97128867984655	1.21659040411986	1.09416275504892	-0.248711147460713	-0.248711147460713	-0.272478765648085	-0.236202006907956	-0.253448502650441	-0.248711147460713	-0.254255663486908	-0.24192811616633	-0.239748583588255	-0.249488369796528	-0.238317248760863	"S01"	2.97128867984655	"IS03"
"CEP85"	"CEP85"	-0.192236540691467	0.152326177060481	2.69884682827544	0.0612201556806345	-0.200170112212067	0.20536204020465	-0.196428614787543	-0.0917435719058055	-0.186549069073376	-0.200170112212067	0.129225930892622	0.0252761120475417	-0.191071470747882	0.191598338797971	-0.197042454208754	-0.188219657751645	"S01"	2.69884682827544	"IS03"
"EPHA8"	"EPHA8"	-0.0566285842103863	-0.0575051876811353	2.65345366014382	-0.0562853806697173	-0.0589656368920848	-0.0578634754548496	-0.0578634754548496	-0.0633930908566782	-0.0549531823106708	-0.0589656368920848	-0.0578634754548496	-0.0591534255446074	-0.0562853806697173	-0.0557783051681883	-0.058044298815646	-0.0554453003612141	"S01"	2.65345366014382	"IS03"
"POU3F4"	"POU3F4"	-0.0566285842103863	-0.0575051876811353	2.65345366014382	-0.0562853806697173	-0.0589656368920848	-0.0578634754548496	-0.0578634754548496	-0.0633930908566782	-0.0549531823106708	-0.0589656368920848	-0.0578634754548496	-0.0591534255446074	-0.0562853806697173	-0.0557783051681883	-0.058044298815646	-0.0554453003612141	"S01"	2.65345366014382	"IS03"
"CRYGD"	"CRYGD"	-0.0566285842103863	-0.0575051876811353	2.65345366014382	-0.0562853806697173	-0.0589656368920848	-0.0578634754548496	-0.0578634754548496	-0.0633930908566782	-0.0549531823106708	-0.0589656368920848	-0.0578634754548496	-0.0591534255446074	-0.0562853806697173	-0.0557783051681883	-0.058044298815646	-0.0554453003612141	"S01"	2.65345366014382	"IS03"
"INKA2"	"INKA2"	-0.0566285842103863	-0.0575051876811353	2.65345366014382	-0.0562853806697173	-0.0589656368920848	-0.0578634754548496	-0.0578634754548496	-0.0633930908566782	-0.0549531823106708	-0.0589656368920848	-0.0578634754548496	-0.0591534255446074	-0.0562853806697173	-0.0557783051681883	-0.058044298815646	-0.0554453003612141	"S01"	2.65345366014382	"IS03"
"ADA2"	"ADA2"	-0.382186657970846	-0.388102860106618	2.64486183385086	1.18612741832203	2.06887403433572	-0.390520946462422	-0.390520946462422	-0.427840354315487	-0.370879360397744	-0.257227056780593	-0.390520946462422	-0.399226827434515	-0.199662747947981	-0.376448119562876	-0.391741324420117	0.469914063491805	"S01"	2.64486183385086	"IS03"
"APBA1"	"APBA1"	0.0351274479020046	-0.111861487629636	2.39678464496449	-0.230936616889332	0.263114018838319	0.0683785866955074	-0.23741147530679	-0.16036865022836	-0.225470661459999	-0.241933598645967	-0.23741147530679	0.0842560706878449	0.452336612988792	0.0629486082388069	-0.0711716269057387	-0.22748980171188	"S01"	2.39678464496449	"IS03"
"NAA80"	"NAA80"	-0.119229943286884	-0.121075608043647	2.31383626491701	0.57023760921977	-0.124150544120946	-0.121829973202797	-0.121829973202797	-0.133472427979856	-0.115702430171887	-0.124150544120946	-0.121829973202797	-0.12454592801942	-0.118507337569994	-0.117439703898192	-0.122210691869056	1.17713735199198	"S01"	2.31383626491701	"IS03"
"ATP5F1C"	"ATP5F1C"	-0.400998059002776	-0.407205459296936	2.29781938804462	2.05075864937809	2.28945953741937	-0.409742564962338	-0.409742564962338	-0.448898851033824	0.166330221379632	-0.417547185247335	-0.409742564962338	-0.418876953353218	-0.398567767736092	-0.394977067125857	-0.411023010477845	-0.392618995083315	"S01"	2.29781938804462	"IS03"
"ZNF711"	"ZNF711"	-0.233143265019528	-0.0107803635014558	2.23830564986709	0.163884005129544	0.540931223888917	0.116748086879614	0.0442158032166435	-0.121753890892254	0.367446336917014	-0.242765050560017	-0.238227386063568	-0.243538187663711	-0.231730275534561	-0.22964261539461	-0.0958982022160256	-0.228271614705687	"S01"	2.23830564986709	"IS03"
"MBOAT4"	"MBOAT4"	-0.0781566492100057	-0.0793665044609346	2.22226226028118	-0.0776829725481269	-0.0813821617170853	-0.0798609998158314	-0.0798609998158314	-0.0874927677163204	-0.0758443223103014	-0.0813821617170853	-0.0798609998158314	-0.0816413405760569	-0.0776829725481269	0.775591010736293	-0.0801105654402559	-0.0765235251966623	"S01"	2.22226226028118	"IS03"
"RUBCNL"	"RUBCNL"	-0.335138942619402	-0.340326851947876	2.18800312079302	0.971322570530232	1.83840360952856	-0.342447268470916	-0.342447268470916	-0.375172604707044	-0.325223589287467	-0.163977051743033	-0.342447268470916	-0.350081443245745	-0.333107797512618	-0.330106826363856	-0.343517416184888	0.597903562786376	"S01"	2.18800312079302	"IS03"
